#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AARS1	AK1	9606.ENSP00000261772	9606.ENSP00000223836	0.058	0	0	0	0.086	0	0	0.420	0.458
AARS1	CTPS1	9606.ENSP00000261772	9606.ENSP00000497744	0	0	0	0	0.268	0	0	0.259	0.435
AARS1	EEF1G	9606.ENSP00000261772	9606.ENSP00000331901	0	0.168	0	0	0.245	0	0	0.206	0.458
AARS1	DARS1	9606.ENSP00000261772	9606.ENSP00000264161	0.079	0	0	0	0.171	0.452	0	0.458	0.743
AARS1	CARS1	9606.ENSP00000261772	9606.ENSP00000369897	0.055	0	0	0	0.340	0	0	0.811	0.872
ABCA1	CPT1A	9606.ENSP00000363868	9606.ENSP00000265641	0	0	0	0	0.055	0	0	0.563	0.570
ABCA1	ACOX1	9606.ENSP00000363868	9606.ENSP00000293217	0	0	0	0	0.069	0	0	0.519	0.533
ABCA1	ALB	9606.ENSP00000363868	9606.ENSP00000295897	0	0	0	0	0.044	0	0	0.522	0.524
ABCA1	LPA	9606.ENSP00000363868	9606.ENSP00000321334	0	0	0	0	0	0	0	0.740	0.740
ABCA1	C1QA	9606.ENSP00000363868	9606.ENSP00000363773	0	0	0	0	0.084	0.060	0	0.415	0.452
ABCA1	ACLY	9606.ENSP00000363868	9606.ENSP00000466259	0	0	0	0	0	0	0	0.405	0.405
ABCA1	ACTB	9606.ENSP00000363868	9606.ENSP00000494750	0	0	0	0	0	0	0	0.551	0.551
ABCA1	APOC2	9606.ENSP00000363868	9606.ENSP00000466775	0	0	0	0	0.058	0	0	0.578	0.585
ABCA1	MATK	9606.ENSP00000363868	9606.ENSP00000378485	0	0	0	0	0.055	0.044	0	0.620	0.626
ABCA2	ATP1B2	9606.ENSP00000344155	9606.ENSP00000250111	0	0	0	0	0.053	0	0.720	0.052	0.726
ABCA3	ABCA4	9606.ENSP00000301732	9606.ENSP00000359245	0	0	0.073	0.826	0	0.271	0	0.189	0.404
ABCA4	BBS1	9606.ENSP00000359245	9606.ENSP00000317469	0	0	0	0	0	0	0	0.470	0.470
ABCD1	ACAA1	9606.ENSP00000218104	9606.ENSP00000333664	0	0	0	0	0.111	0	0	0.445	0.486
