"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_symbol"
"175",15229.1617558817,-11.9256258682684,0.65551127479452,-18.192861552239,5.8789117256725e-74,4.57555699609091e-70,"AGA"
"585",19922.162873092,-10.57150558165,0.648845051248488,-16.2928045167465,1.11019289498052e-59,4.32031565081669e-56,"BBS4"
"1149",28665.2598970944,-10.122218379029,0.647222697097782,-15.6394675656743,3.91991803967927e-55,1.01695740342746e-51,"CIDEA"
"25",1040.16855093811,-10.860628656416,0.72243208098261,-15.03342520676,4.43469482797196e-51,8.62880746152644e-48,"ABL1"
"945",15112.2390105849,-9.47990031488216,0.648087663448717,-14.6274969414416,1.87561445408002e-48,2.91958145922095e-45,"CD33"
"314",4880.89029253864,-9.43889096145074,0.653969182832798,-14.4332350961314,3.19725538605197e-47,4.14737311160708e-44,"AOC2"
"972",13335.4460470632,-9.25847246285721,0.648199248184801,-14.2833742692303,2.77817295241711e-46,3.08893144123748e-43,"CD74"
"117",1534.08428723467,-9.19299489116561,0.670265073547308,-13.715461619554,8.2042562878788e-43,7.98171583607009e-40,"ADCYAP1R1"
"1540",15561.5109422221,-8.81644366903845,0.647397377585859,-13.6182875839178,3.11793021533111e-42,2.69631676288023e-39,"CYLD"
"47",750.017061386536,-9.4768274005676,0.701158244030427,-13.5159608850814,1.25901014025055e-41,9.79887592157003e-39,"ACLY"
"1393",12428.2164731324,-8.63639166172768,0.647799599569409,-13.3318879287179,1.51026713331519e-40,1.06858264532656e-37,"CRHBP"
"147",1456.50503885441,-8.78802320064353,0.668163776024085,-13.1524987076324,1.64642274956039e-39,1.06784235498571e-36,"ADRA1B"
"19",436.390171047284,-10.0028006013543,0.761043434841781,-13.1435344468005,1.85362147646893e-39,1.10974891933521e-36,"ABCA1"
"128",1232.50819563692,-8.74668745129181,0.671904423478116,-13.0177554212466,9.69798892091637e-39,5.39138912653515e-36,"ADH5"
"60",705.593410760244,-9.0357166760275,0.695701338335866,-12.9879248150379,1.43258977742427e-38,7.43323082512875e-36,"ACTB"
"36",515.020535309006,-9.31896382361432,0.720649803590572,-12.9313347165065,2.99572628328385e-38,1.45723360392489e-35,"ACADSB"
"301",2309.52243199798,-8.41820879058964,0.658249138454248,-12.7887881636396,1.89404246145358e-37,8.47985911981104e-35,"ANXA1"
"618",4474.08094005863,-8.33410981174926,0.651811116179348,-12.7860811282269,1.96116489986636e-37,8.47985911981104e-35,"BCYRN1"
"162",1311.51875074939,-8.49584259249433,0.668513850505793,-12.7085513427529,5.30073100870093e-37,2.12583642607472e-34,"AP1B1"
"213",1648.01720934867,-8.43029065850352,0.663478710471363,-12.7061961830159,5.4627686652312e-37,2.12583642607472e-34,"ALB"
"103",885.412609196041,-8.58260796358666,0.680314061254503,-12.6156556984289,1.73110799131763e-36,6.41581595067863e-34,"ADAR"
"127",919.485137825325,-8.33419521311067,0.676789927327653,-12.3143014938457,7.58692075652493e-35,2.68404564763789e-32,"ADH4"
"1493",8171.40773710404,-7.92912414782664,0.648480122604815,-12.2272431666478,2.22357703734426e-34,7.52439133984799e-32,"CTLA4"
"216",1357.44080061097,-8.12930380572548,0.665665611722066,-12.2122934737384,2.67247898539075e-34,8.66662664304008e-32,"ALDH1A1"
"152",975.937223025437,-8.16034397890143,0.673713834666316,-12.112477967657,9.07116538601129e-34,2.82403520797303e-31,"ADRA2C"
"1807",8815.61006924835,-7.76249606422175,0.648133183666398,-11.9766990178013,4.70694957913661e-33,1.36783133407128e-30,"DPYS"
"4811",23113.1449935879,-7.7402339540423,0.646310563855785,-11.9760288426439,4.74514274957274e-33,1.36783133407128e-30,"NID1"
"20",268.733592191453,-9.22836037384326,0.779143862388965,-11.8442316230892,2.30521456919495e-32,6.40767321144438e-30,"ABCA2"
"34",324.939671546965,-8.73584498518292,0.741121627605058,-11.7873297172731,4.53698785510133e-32,1.19529659392529e-29,"ACADM"
"24",280.001645063784,-9.02421998324095,0.76567065442141,-11.7860335003439,4.60733622224832e-32,1.19529659392529e-29,"ABCA4"
"164",897.95541962675,-7.92970419040179,0.674523330000335,-11.7560117459508,6.57682129233905e-32,1.65120645542822e-29,"AP1G1"
"1977",8338.73234108836,-7.55150633539631,0.648175310362872,-11.6504072504223,2.28364852331316e-31,5.55426139279572e-29,"EIF4E"
"3779",15678.6558908913,-7.52758856915651,0.646773651133482,-11.6386753788814,2.62053845991387e-31,6.18050025257869e-29,"KCNMB1"
"3151",12411.6396989251,-7.45225847623972,0.647162423856687,-11.5152830286853,1.10496149595238e-30,2.52938685970512e-28,"HMGN2"
"1174",4687.73014892296,-7.47201515305821,0.650413360835738,-11.4881021869802,1.51401480206643e-30,3.36673634413801e-28,"AP1S1"
"251",1134.65162244878,-7.65199621685131,0.66721306000626,-11.4685947795739,1.89714927475438e-30,4.10153133483703e-28,"ALPPL2"
"570",2349.07418171152,-7.51786937667581,0.655655080736652,-11.4661955615889,1.95047183881786e-30,4.10284387068093e-28,"BAAT"
"33",280.202922573002,-8.56478883656575,0.75006648760454,-11.41870617886,3.37216652337791e-30,6.90672948722376e-28,"ACADL"
"156",707.740370858564,-7.65720587595088,0.68018603911431,-11.2575169668603,2.12666572326452e-29,4.24406136517121e-27,"GRK2"
"59",359.03456434394,-8.08268442880228,0.718744392985781,-11.2455617152372,2.43541392902554e-29,4.73870665240145e-27,"ACTA2"
"2580",9045.29089870316,-7.28322455009005,0.647818540909443,-11.2426923438552,2.51590256609078e-29,4.77591943216696e-27,"GAK"
"721",2643.09467227361,-7.34798991447046,0.654230103935612,-11.2315068815507,2.85566287221069e-29,5.291815270099e-27,"C4B"
"2297",7686.3516988569,-7.21553490372607,0.648249087611463,-11.1308061077454,8.88285328134178e-29,1.60779644392286e-26,"FOXD1"
"1144",3871.02170117776,-7.23172182980341,0.65126279682945,-11.1041531391163,1.19747077662147e-28,2.11816251237384e-26,"CHRND"
"37",257.935186840629,-8.27943548348709,0.750347080702841,-11.0341409947672,2.61538706167e-28,4.52345722243947e-26,"ACADVL"
"824",2623.04098914263,-7.1430141261307,0.654012390497479,-10.9218330262785,9.06476353906708e-28,1.53371857879476e-25,"CAPN2"
"695",2161.83356724622,-7.1094218768233,0.655826652176292,-10.8403979210534,2.21505484977562e-27,3.66803657357525e-25,"BTK"
