GeneID	Du145 siControl	Du145 siCDCA2	PC4	LNCap	22RV1	Du145	PC3	Prostate
100287102	0	0	4	6	8	0	9	4
653635	21	69	350	231	885	247	367	338
102466751	0	0	6	5	3	3	7	7
107985730	0	0	0	1	0	2	1	0
100302278	0	0	0	0	0	0	0	0
645520	1	3	0	1	0	2	9	2
79501	0	0	0	0	0	0	0	0
100996442	5	8	55	53	16	64	48	55
729737	5	22	548	112	591	368	330	235
102725121	0	0	2	7	1	1	11	5
102723897	21	77	369	232	950	271	401	331
102465909	0	0	6	4	3	4	7	8
107985721	1	0	0	1	0	3	3	0
112268260	1	2	13	15	10	12	9	11
729759	0	0	0	0	0	0	0	0
100132287	5	16	396	118	439	204	182	197
105378947	0	0	1	3	1	1	0	1
101928626	0	0	0	0	0	0	0	0
113219467	1398	1292	1541	1746	15012	1692	1019	763
81399	1	0	2	3	3	4	1	1
100133331	4	17	416	137	450	204	191	228
107984841	1	2	41	25	11	30	22	16
107984847	2	2	79	47	3	36	33	24
107984849	0	0	8	3	0	6	3	1
100288069	3	7	67	36	10	59	45	15
105378580	7	4	34	36	16	35	45	46
400728	1	0	6	12	0	4	9	4
79854	3	9	37	25	24	37	29	68
643837	75	90	546	381	76	315	170	318
107984850	0	0	2	6	1	1	1	2
284593	0	1	4	5	7	6	5	7
284600	0	3	1198	218	162	60	14	37
100130417	0	2	280	61	295	18	2	208
107985728	0	0	336	89	11	23	0	164
148398	53	84	1097	379	1005	222	174	385
26155	412	920	3338	2857	1726	1769	2344	569
339451	22	54	972	424	467	275	491	133
84069	15	34	239	333	105	159	190	53
84808	5	7	46	62	63	23	33	29
57801	84	374	1058	594	3000	313	255	211
9636	842	8673	70	1908	2459	1051	1162	105
375790	1461	3366	11734	3403	1649	21539	27392	971
100288175	49	95	43	33	25	108	209	5
112267874	3	11	12	25	35	14	44	5
105378948	44	78	69	71	52	110	196	36
401934	13	18	56	50	14	29	9	7
54991	33	112	582	220	785	271	593	139
254099	0	0	0	0	0	0	0	2
406984	0	0	0	2	0	0	1	2
406983	0	0	0	4	0	0	1	6
554210	0	0	0	4	0	0	1	5
100506376	0	0	0	0	1	0	0	4
254173	0	0	0	1	1	0	4	14
8784	9	13	72	19	472	11	220	10
7293	2	0	1	1	1	0	6	15
51150	521	831	3130	2893	1424	2688	6241	1393
126792	234	468	289	1112	687	756	1346	156
388581	3	7	27	9	37	21	14	18
118424	363	752	1386	1171	880	911	1848	346
101928895	0	1	21	53	8	54	70	45
6339	4	6	48	106	46	123	178	134
116983	62	124	2056	1302	1671	572	1222	712
102465434	0	0	0	0	0	0	1	0
109623456	0	0	11	2	0	2	2	4
126789	116	260	506	367	1018	277	581	135
54973	287	499	1675	1241	1909	1257	2122	1018
102465435	0	0	3	5	3	4	0	1
80772	103	205	633	886	888	391	1254	259
83756	10	4	36	45	37	43	48	12
1855	208	419	2494	1756	1166	1427	5447	675
102466740	0	0	0	0	0	0	0	0
54587	14	26	65	655	474	279	364	524
54998	555	1028	1524	1800	4160	1044	2413	455
81669	90	154	4143	2232	2167	2512	8527	2666
148413	83	124	543	587	451	332	550	176
55052	246	487	1221	1551	1232	557	1386	424
107984868	1	1	9	5	0	3	4	12
441869	5	1	35	43	5	31	3	93
105378585	7	4	1	6	1	15	2	19
643965	0	0	0	0	0	0	0	3
102724312	5	11	3	31	0	32	1	29
107985729	2	4	2	29	1	22	1	6
64856	165	149	585	1340	233	974	186	1700
219293	11	25	110	126	57	140	110	71
83858	48	242	1071	917	1081	481	1035	366
55210	123	240	1178	981	1488	558	1507	214
339453	2	0	23	11	19	10	10	22
29101	527	835	2464	2109	2517	1107	3071	679
643988	148	212	341	840	741	346	155	24
105378586	5	6	22	38	8	21	8	2
142678	65	75	577	682	1228	341	1605	722
8510	2	3	78	34	189	20	83	53
984	85	162	1292	989	1454	788	1879	507
728661	229	319	4299	2831	690	1408	4029	989
8511	0	0	10	5	44	1	29	22
728642	62	115	928	766	984	545	874	444
9906	83	130	2054	1255	627	688	1519	732
112268218	14	28	132	107	156	76	92	46
65220	319	499	1968	1902	473	1157	1908	544
2782	3161	3188	11920	7546	3584	8303	16414	2713
105378949	4	9	20	48	15	5	14	15
163688	1	0	3	13	5	36	1	17
339456	41	61	108	175	46	45	53	10
85452	5	5	1	1	0	28	2	4
107984872	0	0	5	2	0	3	0	0
105378589	0	1	0	1	1	20	0	0
2563	8	16	1	7	18	103	0	2
105378590	0	0	0	0	0	1	0	0
105378591	1	0	1	1	6	2	0	1
5590	121	179	704	594	295	543	877	294
100506504	3	2	106	31	35	41	61	46
199990	291	512	856	716	1823	896	1685	485
112268219	13	11	88	290	172	126	185	75
105378593	0	2	2	3	6	9	4	8
6497	170	178	2831	1749	478	1209	3358	778
79906	5	36	270	141	67	77	133	115
100129534	2	7	195	73	152	28	35	57
11079	863	1314	2184	2541	2070	2174	3863	1437
5192	145	278	355	909	668	389	679	390
9651	2	3	36	132	19	20	78	540
55229	56	137	336	508	148	401	945	197
388585	0	1	0	1	5	3	0	2
115110	0	5	1	19	0	10	11	90
8764	16	14	13	167	80	36	131	1115
100996583	0	0	0	3	0	3	4	1
127281	127	146	821	1021	228	443	1227	219
79258	17	11	87	184	66	41	121	45
105378597	0	0	0	0	0	2	0	1
100287898	1	2	0	27	4	32	29	16
105378603	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0
107985732	0	0	0	1	0	0	0	0
105378600	0	0	0	0	0	0	0	0
105378598	0	0	1	1	0	0	1	2
107984904	0	0	0	1	0	0	0	0
105378599	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0
440556	0	0	0	2	1	1	0	24
63976	6	4	7	3	2	16	1	22
100422968	0	0	0	0	0	0	0	0
105378606	0	0	0	2	0	0	0	0
107984909	0	0	0	3	0	0	1	1
105378605	0	0	0	0	0	2	0	1
105378604	0	0	0	0	0	3	0	1
27237	33	79	1335	680	587	230	48	220
1953	16	24	606	80	486	498	672	843
105378608	0	0	0	2	0	0	0	2
693135	0	0	0	0	0	1	0	0
105378607	0	0	1	0	0	0	0	0
127262	187	314	849	1189	1084	447	1854	500
49856	78	124	486	327	357	242	617	144
7161	6	4	94	100	59	24	17	66
105378610	0	0	1	6	0	0	1	0
105378609	0	0	0	0	0	0	0	0
57212	125	257	690	753	262	702	1593	333
148870	0	0	0	5	0	6	2	5
388588	6	29	15	16	13	32	38	21
57470	136	248	1614	1345	953	712	1590	543
9731	25	39	1299	906	417	249	1727	328
1677	23	33	420	239	78	117	348	94
107984910	0	0	8	4	1	4	15	2
339448	102	226	624	248	282	324	931	143
100133612	0	1	12	10	6	6	15	3
728716	0	0	0	0	0	0	0	0
105376672	0	0	0	0	0	0	0	1
105376673	0	0	72	5	161	0	0	1
284661	0	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0	0
107985376	0	0	0	0	0	0	0	0
55966	0	0	0	0	0	1	0	22
105376680	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0
107984911	0	0	0	0	0	0	0	0
105376686	0	0	0	0	0	0	0	0
100616421	0	0	0	0	0	0	1	0
261734	59	104	565	405	114	337	738	86
8514	70	92	130	480	58	402	757	68
26038	3	8	35	14	106	60	8	41
105376687	0	0	0	1	1	1	0	0
6146	1362	1512	4319	2525	6334	2785	5460	1978
107985733	1	3	39	14	15	16	23	4
102724450	4	9	31	7	24	23	11	2
388591	16	23	257	280	182	301	618	247
23463	1293	1448	3862	1971	1041	3681	5574	631
148645	7	5	4	4	7	15	14	1
390992	0	0	0	0	0	0	0	0
387509	41	100	61	131	142	272	6815	41
11332	348	646	988	545	569	882	2732	109
54626	9	2	1	61	32	25	512	36
83715	4	7	80	217	134	17	103	70
100422975	0	0	0	0	0	0	0	0
8718	4	6	232	32	441	148	648	115
57449	35	72	441	101	129	582	2657	248
79707	76	165	1356	937	540	636	1624	269
80835	1	1	2	21	0	0	3	0
107984912	0	0	0	0	0	0	0	0
3104	36	121	391	315	891	251	543	392
9903	116	332	814	1168	91	589	2469	500
107984913	1	0	7	2	3	10	23	13
148479	266	353	1148	381	285	768	1535	261
90326	71	174	619	445	641	407	759	240
55735	109	237	1351	1158	400	896	1740	293
100505887	0	0	0	0	0	0	0	0
110841581	3	3	2	7	13	7	6	1
23261	256	388	567	565	537	684	416	350
105376692	0	0	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0	0
101928836	0	0	0	0	0	0	0	0
105376691	0	0	0	0	0	0	0	0
105376689	3	7	2	73	10	60	0	33
9341	784	784	1242	1172	440	1726	2421	660
8863	11	11	134	271	2	75	406	588
10911	0	0	1	2	1	3	0	3
3604	56	83	0	47	2	144	59	6
11315	1385	1982	3249	4448	2979	2539	2932	1391
54206	2972	3239	973	2829	125	7692	10803	259
107984915	0	0	0	1	0	0	4	0
102724539	0	1	0	0	0	1	0	3
105376695	0	0	0	0	0	0	0	0
50651	14	30	132	74	9	132	111	48
473	139	221	4680	483	545	1587	2101	2181
102724552	1	0	1	3	0	0	0	12
106632271	0	0	1	0	0	0	0	0
2023	21298	22110	15333	19962	8418	54644	52466	2474
102465436	0	2	0	2	1	1	1	0
100505975	1	2	4	25	15	18	3	5
112268261	11	16	6	11	3	19	11	2
765	0	0	0	0	0	0	0	38
155184	0	0	0	0	0	3	0	2
6518	1	1	7	1	3	7	3	730
80045	19	50	395	304	31	258	409	139
106614088	0	3	1	430	31	104	172	74
407040	0	0	0	1	0	1	0	0
102724571	1	1	1	51	13	3	6	15
9563	159	141	402	1715	594	1497	1073	585
80176	157	274	15	145	29	447	816	141
