	count_sam11 sicontrol	count_sam15 siCDCA2	rpkm_sam11 siControl	rpkm_sam15 siCDCA2
LOC100505817	0	0	0	0
AGFG2	27	64	1.358959905	2.538933296
FSTL1	104	123	6.558134981	6.113368306
LMNB1	563	574	39.16360014	31.47128987
C1orf226	57	83	3.246084613	3.725559558
MARCO	0	4	0	0.416035698
ZNF815P	9	13	0.772534102	0.879522472
NTRK2	0	0	0	0
KBTBD11-OT1	0	3	0	0.733123085
ENTPD1-AS1	1	0	0.049286896	0
TBC1D10A	59	128	7.079605956	12.10585539
MIR924HG	32	27	3.609077185	2.400150052
SNAI3-AS1	12	20	1.028223025	1.350717455
ACSS2	262	235	19.86921042	14.04674239
CHD5	3	6	0.075177436	0.11850753
APH1B	117	172	6.756771552	7.829071485
KRT5	9	31	0.946295572	2.56906108
WHRN	22	42	1.279967201	1.925989382
LGMN	249	447	27.72160187	39.22427597
ZNF358	210	245	26.03726047	23.94255618
SLC19A2	138	165	9.190379562	8.660974176
ZNF252P	179	88	7.98236234	3.093068346
IL17REL	0	0	0	0
TMEM97	294	341	27.72238223	25.34346742
CAV1	2451	1777	162.2474375	92.71508497
LOC101929567	0	1	0	0.02159253
SS18L1	45	69	2.191150916	2.64811783
MIR548AC	1	0	2.848782616	0
LPAR6	0	1	0	0.055192706
TERF2	146	223	11.85162329	14.26784175
MAS1	0	0	0	0
ZNF446	24	55	2.337697722	4.222486203
DESI1	199	502	12.70088507	25.25300499
NLE1	122	413	10.77384235	28.74678463
ANKRD36B	8	6	0.323617136	0.191302749
ARL2	135	235	33.3569189	45.76658005
ANXA4	563	454	36.03713775	22.90478321
CLUL1	3	1	0.319173799	0.083856053
TLE3	165	224	6.760435904	7.233811897
CAMSAP3	60	124	3.471634729	5.655003745
SRRM1	79	115	4.609536209	5.288791153
CLEC11A	25	69	4.302532381	9.359694364
TMEM94	91	149	3.77252757	4.868618401
ARSB	94	95	3.410003461	2.716307978
PTCH1	52	62	1.399224265	1.314934474
SLC6A15	0	1	0	0.024340821
PLAUR	318	706	38.29069822	67.00378007
SAMD15	1	3	0.11957853	0.282750187
SLC30A6	487	432	21.27080743	14.87192543
MAP3K8	47	77	3.639554382	4.69969331
HMGN3	94	69	15.48419939	8.958564605
KIF5C	47	31	1.559880284	0.810930327
PHRF1	82	83	3.569299809	2.847578508
GBP1P1	0	0	0	0
MIS12	306	371	26.03543073	24.87973143
TLE2	177	198	14.50911796	12.79267519
FLRT2	5	1	0.123154573	0.01941373
USP32	325	371	11.20091372	10.07795554
SSB	338	371	37.28725493	32.25864038
GNS	1721	1689	81.26641283	62.86201632
DHH	1	1	0.051509577	0.040599102
C11orf84	156	228	18.53525883	21.35194005
ARPC3	563	742	143.0519329	148.5996131
IRAK2	147	294	10.26103741	16.17520169
MIR4766	0	0	0	0
MARK2	145	320	6.779541561	11.79263187
NARS2	154	298	14.80371753	22.57848359
KCNK6	38	54	3.465750603	3.881824604
MTMR3	155	222	4.161515796	4.697872886
PNLDC1	0	0	0	0
ZNF143	134	259	11.01039498	16.77360077
ZNF518A	251	161	5.747402091	2.905709371
MLLT6	135	310	4.358637403	7.888730224
CEP104	21	27	0.787407397	0.797943971
CNTNAP1	220	492	9.767553158	17.21696685
ZNF790-AS1	4	29	0.918962134	5.251266523
ATP6AP2	479	372	56.9686563	34.87159726
ZCCHC10	93	64	9.294109196	5.041191947
CTNNB1	1707	2015	106.4222744	99.01534459
APOBEC3F	36	53	1.732712146	2.010611796
USP44	150	205	8.281344815	8.920555667
P3H2	132	140	8.124896023	6.792041864
VBP1	461	368	54.61328122	34.36161766
ITGAE	219	245	13.73480663	12.11080347
PRR26	0	1	0	0.042299729
DCHS1	1	4	0.022506415	0.07095692
SYNE2	132	159	1.435328975	1.362708871
