"Entrez_ID"	"Gene_symbol"	"Gene_name"	"mRNA_size"	"Frag_count"	"FPM"	"FPKM"
1	"A1BG"	"alpha-1-B glycoprotein"	6535	7	0.296826098	0.045420979
2	"A2M"	"alpha-2-macroglobulin"	6384	1	0.042403728	0.006642188
9	"NAT1"	"N-acetyltransferase 1"	3168	225	9.540838861	3.011628428
10	"NAT2"	"N-acetyltransferase 2"	1322	1	0.042403728	0.032075437
12	"SERPINA3"	"serpin family A member 3"	5979	1241	52.62302678	8.801309046
13	"AADAC"	"arylacetamide deacetylase"	1668	0	0	0
14	"AAMP"	"angio associated migratory cell protein"	3140	2370	100.496836	32.00536178
15	"AANAT"	"aralkylamine N-acetyltransferase"	2190	1	0.042403728	0.019362433
16	"AARS"	"alanyl-tRNA synthetase"	4498	2267	96.12925199	21.37155447
18	"ABAT"	"4-aminobutyrate aminotransferase"	9744	2043	86.63081686	8.890683175
19	"ABCA1"	"ATP binding cassette subfamily A member 1"	11350	187	7.929497187	0.698634113
20	"ABCA2"	"ATP binding cassette subfamily A member 2"	11514	5063	214.6900762	18.6460028
21	"ABCA3"	"ATP binding cassette subfamily A member 3"	7804	4550	192.9369636	24.72282978
22	"ABCB7"	"ATP binding cassette subfamily B member 7"	2970	657	27.85924947	9.380218678
23	"ABCF1"	"ATP binding cassette subfamily F member 1"	30558	4176	177.0779693	5.794815409
24	"ABCA4"	"ATP binding cassette subfamily A member 4"	8201	174	7.378248719	0.899676713
25	"ABL1"	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	6276	3927	166.5194409	26.53273437
26	"AOC1"	"amine oxidase, copper containing 1"	3824	7	0.296826098	0.077621888
27	"ABL2"	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	13257	1400	59.36521958	4.47802818
28	"ABO"	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"	6354	57	2.417012511	0.380392274
29	"ABR"	"ABR, RhoGEF and GTPase activating protein"	29021	2891	122.5891784	4.224154179
30	"ACAA1"	"acetyl-CoA acyltransferase 1"	6329	764	32.3964484	5.118730984
31	"ACACA"	"acetyl-CoA carboxylase alpha"	26017	9554	405.1252199	15.57155782
32	"ACACB"	"acetyl-CoA carboxylase beta"	14436	551	23.36445428	1.618485334
33	"ACADL"	"acyl-CoA dehydrogenase long chain"	4383	345	14.62928625	3.337733574
34	"ACADM"	"acyl-CoA dehydrogenase medium chain"	4396	1526	64.70808934	14.71976555
35	"ACADS"	"acyl-CoA dehydrogenase short chain"	2648	723	30.65789554	11.57775511
