"ENTREZ_GENE_ID","Original ID","Value","Gene Name","Species"
"1","A1BG","","alpha-1-B glycoprotein(A1BG)","Homo sapiens"
"2","A2M","","alpha-2-macroglobulin(A2M)","Homo sapiens"
"9","NAT1","","N-acetyltransferase 1(NAT1)","Homo sapiens"
"10","NAT2","","N-acetyltransferase 2(NAT2)","Homo sapiens"
"12","SERPINA3","","serpin family A member 3(SERPINA3)","Homo sapiens"
"13","AADAC","","arylacetamide deacetylase(AADAC)","Homo sapiens"
"14","AAMP","","angio associated migratory cell protein(AAMP)","Homo sapiens"
"15","AANAT","","aralkylamine N-acetyltransferase(AANAT)","Homo sapiens"
"18","ABAT","","4-aminobutyrate aminotransferase(ABAT)","Homo sapiens"
"19","ABCA1","","ATP binding cassette subfamily A member 1(ABCA1)","Homo sapiens"
"20","ABCA2","","ATP binding cassette subfamily A member 2(ABCA2)","Homo sapiens"
"21","ABCA3","","ATP binding cassette subfamily A member 3(ABCA3)","Homo sapiens"
"22","ABCB7","","ATP binding cassette subfamily B member 7(ABCB7)","Homo sapiens"
"23","ABCF1","","ATP binding cassette subfamily F member 1(ABCF1)","Homo sapiens"
"24","ABCA4","","ATP binding cassette subfamily A member 4(ABCA4)","Homo sapiens"
"25","ABL1","","ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)","Homo sapiens"
"26","AOC1","","amine oxidase copper containing 1(AOC1)","Homo sapiens"
"27","ABL2","","ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)","Homo sapiens"
"28","ABO","","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase(ABO)","Homo sapiens"
"29","ABR","","ABR activator of RhoGEF and GTPase(ABR)","Homo sapiens"
"30","ACAA1","","acetyl-CoA acyltransferase 1(ACAA1)","Homo sapiens"
"31","ACACA","","acetyl-CoA carboxylase alpha(ACACA)","Homo sapiens"
"32","ACACB","","acetyl-CoA carboxylase beta(ACACB)","Homo sapiens"
"33","ACADL","","acyl-CoA dehydrogenase long chain(ACADL)","Homo sapiens"
"34","ACADM","","acyl-CoA dehydrogenase medium chain(ACADM)","Homo sapiens"
"35","ACADS","","acyl-CoA dehydrogenase short chain(ACADS)","Homo sapiens"
"36","ACADSB","","acyl-CoA dehydrogenase short/branched chain(ACADSB)","Homo sapiens"
"37","ACADVL","","acyl-CoA dehydrogenase very long chain(ACADVL)","Homo sapiens"
"38","ACAT1","","acetyl-CoA acetyltransferase 1(ACAT1)","Homo sapiens"
"39","ACAT2","","acetyl-CoA acetyltransferase 2(ACAT2)","Homo sapiens"
"40","ASIC2","","acid sensing ion channel subunit 2(ASIC2)","Homo sapiens"
"41","ASIC1","","acid sensing ion channel subunit 1(ASIC1)","Homo sapiens"
"43","ACHE","","acetylcholinesterase (Yt blood group)(ACHE)","Homo sapiens"
"47","ACLY","","ATP citrate lyase(ACLY)","Homo sapiens"
"48","ACO1","","aconitase 1(ACO1)","Homo sapiens"
"49","ACR","","acrosin(ACR)","Homo sapiens"
"50","ACO2","","aconitase 2(ACO2)","Homo sapiens"
"51","ACOX1","","acyl-CoA oxidase 1(ACOX1)","Homo sapiens"
"52","ACP1","","acid phosphatase 1(ACP1)","Homo sapiens"
"53","ACP2","","acid phosphatase 2, lysosomal(ACP2)","Homo sapiens"
"54","ACP5","","acid phosphatase 5, tartrate resistant(ACP5)","Homo sapiens"
"56","ACRV1","","acrosomal vesicle protein 1(ACRV1)","Homo sapiens"
"58","ACTA1","","actin alpha 1, skeletal muscle(ACTA1)","Homo sapiens"
