"EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"7689.259133387354","pp","9606.ENSP00000295897 (pp) 9606.ENSP00000314151","false","pp","9606.ENSP00000295897 (pp) 9606.ENSP00000314151","0.057","0.0","0.0","0.051","0.0",,"0.0","0.768","0.762"
"1203.5768732719866","pp","9606.ENSP00000320180 (pp) 9606.ENSP00000376623","false","pp","9606.ENSP00000320180 (pp) 9606.ENSP00000376623","0.166","0.0","0.0","0.0","0.0",,"0.0","0.803","0.774"
"4364.944181958649","pp","9606.ENSP00000295897 (pp) 9606.ENSP00000362353","false","pp","9606.ENSP00000295897 (pp) 9606.ENSP00000362353","0.085","0.0","0.0","0.0","0.0",,"0.0","0.765","0.754"
"1025.936280300905","pp","9606.ENSP00000320180 (pp) 9606.ENSP00000335074","false","pp","9606.ENSP00000320180 (pp) 9606.ENSP00000335074","0.042","0.0","0.0","0.0","0.0",,"0.0","0.798","0.798"
"6079.941221753655","pp","9606.ENSP00000295897 (pp) 9606.ENSP00000321797","false","pp","9606.ENSP00000295897 (pp) 9606.ENSP00000321797","0.0","0.0","0.0","0.0","0.0",,"0.0","0.755","0.755"
"910.4604564211238","pp","9606.ENSP00000311290 (pp) 9606.ENSP00000342931","false","pp","9606.ENSP00000311290 (pp) 9606.ENSP00000342931","0.0","0.0","0.0","0.067","0.0",,"0.0","0.972","0.971"
"2631.8312755468774","pp","9606.ENSP00000295897 (pp) 9606.ENSP00000330484","false","pp","9606.ENSP00000295897 (pp) 9606.ENSP00000330484","0.074","0.0","0.0","0.0","0.0",,"0.0","0.754","0.746"
"128.37131650088878","pp","9606.ENSP00000311290 (pp) 9606.ENSP00000320180","false","pp","9606.ENSP00000311290 (pp) 9606.ENSP00000320180","0.17","0.0","0.0","0.0","0.0",,"0.0","0.927","0.916"
"1880.0","pp","9606.ENSP00000172229 (pp) 9606.ENSP00000469455","false","pp","9606.ENSP00000172229 (pp) 9606.ENSP00000469455","0.082","0.0","0.9","0.0","0.0",,"0.0","0.999","0.998"
"2743.903823935855","pp","9606.ENSP00000311290 (pp) 9606.ENSP00000384092","false","pp","9606.ENSP00000311290 (pp) 9606.ENSP00000384092","0.086","0.0","0.0","0.0","0.0",,"0.0","0.787","0.777"
"1964.2100146433309","pp","9606.ENSP00000172229 (pp) 9606.ENSP00000228945","false","pp","9606.ENSP00000172229 (pp) 9606.ENSP00000228945","0.0","0.0","0.9","0.602","0.0",,"0.0","0.963","0.167"
"1879.9999999999998","pp","9606.ENSP00000310832 (pp) 9606.ENSP00000381185","false","pp","9606.ENSP00000310832 (pp) 9606.ENSP00000381185","0.0","0.0","0.9","0.0","0.0",,"0.0","0.907","0.114"
"1874.0","pp","9606.ENSP00000172229 (pp) 9606.ENSP00000219409","false","pp","9606.ENSP00000172229 (pp) 9606.ENSP00000219409","0.0","0.0","0.9","0.513","0.0",,"0.0","0.961","0.28"
"835.3399774135821","pp","9606.ENSP00000310447 (pp) 9606.ENSP00000370737","false","pp","9606.ENSP00000310447 (pp) 9606.ENSP00000370737","0.059","0.0","0.8","0.0","0.0",,"0.0","0.866","0.348"
"6829.65244387197","pp","9606.ENSP00000172229 (pp) 9606.ENSP00000497916","false","pp","9606.ENSP00000172229 (pp) 9606.ENSP00000497916","0.042","0.0","0.0","0.636","0.0",,"0.0","0.923","0.798"
"1074.9266892530848","pp","9606.ENSP00000310447 (pp) 9606.ENSP00000380856","false","pp","9606.ENSP00000310447 (pp) 9606.ENSP00000380856","0.111","0.0","0.8","0.0","0.0",,"0.0","0.828","0.111"
"4586.384288031265","pp","9606.ENSP00000172229 (pp) 9606.ENSP00000414378","false","pp","9606.ENSP00000172229 (pp) 9606.ENSP00000414378","0.0","0.0","0.65","0.0","0.0",,"0.0","0.854","0.601"
"1880.0","pp","9606.ENSP00000360250 (pp) 9606.ENSP00000430075","false","pp","9606.ENSP00000360250 (pp) 9606.ENSP00000430075","0.058","0.0","0.9","0.0","0.0",,"0.0","0.922","0.245"
"6889.068070096271","pp","9606.ENSP00000172229 (pp) 9606.ENSP00000222390","false","pp","9606.ENSP00000172229 (pp) 9606.ENSP00000222390","0.0","0.0","0.65","0.0","0.0",,"0.0","0.768","0.366"
"3756.0","pp","9606.ENSP00000310305 (pp) 9606.ENSP00000360250","false","pp","9606.ENSP00000310305 (pp) 9606.ENSP00000360250","0.058","0.0","0.0","0.0","0.0",,"0.0","0.936","0.935"
"1542.7642819782839","pp","9606.ENSP00000172229 (pp) 9606.ENSP00000371790","false","pp","9606.ENSP00000172229 (pp) 9606.ENSP00000371790","0.0","0.0","0.65","0.0","0.0",,"0.0","0.766","0.36"
"3003.6575502863443","pp","9606.ENSP00000310305 (pp) 9606.ENSP00000416193","false","pp","9606.ENSP00000310305 (pp) 9606.ENSP00000416193","0.0","0.0","0.0","0.0","0.0",,"0.0","0.768","0.768"
"3114.5588235083137","pp","9606.ENSP00000172229 (pp) 9606.ENSP00000321797","false","pp","9606.ENSP00000172229 (pp) 9606.ENSP00000321797","0.042","0.0","0.65","0.0","0.0",,"0.0","0.764","0.355"
"6544.950022330406","pp","9606.ENSP00000310305 (pp) 9606.ENSP00000316152","false","pp","9606.ENSP00000310305 (pp) 9606.ENSP00000316152","0.0","0.0","0.75","0.0","0.0",,"0.0","0.75","0.0"
"2992.3946828533362","pp","9606.ENSP00000172229 (pp) 9606.ENSP00000274625","false","pp","9606.ENSP00000172229 (pp) 9606.ENSP00000274625","0.044","0.0","0.65","0.0","0.0",,"0.0","0.762","0.348"
"1880.0","pp","9606.ENSP00000309913 (pp) 9606.ENSP00000365663","false","pp","9606.ENSP00000309913 (pp) 9606.ENSP00000365663","0.049","0.0","0.5","0.0","0.0",,"0.0","0.911","0.828"
