"EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"2402.0","pp","9606.ENSP00000274353 (pp) 9606.ENSP00000361287","false","pp","9606.ENSP00000274353 (pp) 9606.ENSP00000361287","0.138","0.0","0.942","0.0","0.0",,"0.1","0.988","0.778"
"14412.0","pp","9606.ENSP00000274353 (pp) 9606.ENSP00000348234","false","pp","9606.ENSP00000274353 (pp) 9606.ENSP00000348234","0.126","0.0","0.913","0.0","0.0",,"0.0","0.936","0.226"
"2414.0","pp","9606.ENSP00000255189 (pp) 9606.ENSP00000274353","false","pp","9606.ENSP00000255189 (pp) 9606.ENSP00000274353","0.229","0.0","0.932","0.0","0.0",,"0.06","0.992","0.865"
"2412.0","pp","9606.ENSP00000263080 (pp) 9606.ENSP00000413064","false","pp","9606.ENSP00000263080 (pp) 9606.ENSP00000413064","0.063","0.0","0.9","0.0","0.0",,"0.0","0.977","0.779"
"2412.0","pp","9606.ENSP00000263080 (pp) 9606.ENSP00000414330","false","pp","9606.ENSP00000263080 (pp) 9606.ENSP00000414330","0.0","0.0","0.9","0.0","0.0",,"0.0","0.904","0.088"
"9632.0","pp","9606.ENSP00000263080 (pp) 9606.ENSP00000310447","false","pp","9606.ENSP00000263080 (pp) 9606.ENSP00000310447","0.0","0.0","0.8","0.0","0.0",,"0.0","0.807","0.074"
"2414.0","pp","9606.ENSP00000255082 (pp) 9606.ENSP00000263080","false","pp","9606.ENSP00000255082 (pp) 9606.ENSP00000263080","0.0","0.075","0.0","0.65","0.0",,"0.0","0.795","0.417"
"2724.8609140272615","pp","9606.ENSP00000271450 (pp) 9606.ENSP00000365012","false","pp","9606.ENSP00000271450 (pp) 9606.ENSP00000365012","0.361","0.0","0.9","0.0","0.0",,"0.0","0.952","0.313"
"392.56563893833214","pp","9606.ENSP00000271450 (pp) 9606.ENSP00000351497","false","pp","9606.ENSP00000271450 (pp) 9606.ENSP00000351497","0.356","0.053","0.0","0.471","0.0",,"0.0","0.892","0.706"
"388.285552410819","pp","9606.ENSP00000271450 (pp) 9606.ENSP00000454623","false","pp","9606.ENSP00000271450 (pp) 9606.ENSP00000454623","0.401","0.0","0.0","0.0","0.0",,"0.0","0.875","0.801"
"2124.816261759611","pp","9606.ENSP00000271450 (pp) 9606.ENSP00000363089","false","pp","9606.ENSP00000271450 (pp) 9606.ENSP00000363089","0.377","0.0","0.0","0.0","0.0",,"0.0","0.818","0.72"
"887.0956384406253","pp","9606.ENSP00000271450 (pp) 9606.ENSP00000332049","false","pp","9606.ENSP00000271450 (pp) 9606.ENSP00000332049","0.222","0.0","0.0","0.0","0.0",,"0.0","0.788","0.739"
"1993.082815349065","pp","9606.ENSP00000271450 (pp) 9606.ENSP00000313419","false","pp","9606.ENSP00000271450 (pp) 9606.ENSP00000313419","0.07","0.0","0.0","0.0","0.0",,"0.0","0.768","0.76"
"505.08185860418615","pp","9606.ENSP00000271450 (pp) 9606.ENSP00000353874","false","pp","9606.ENSP00000271450 (pp) 9606.ENSP00000353874","0.072","0.0","0.0","0.0","0.0",,"0.0","0.756","0.748"
"1666.2383129783893","pp","9606.ENSP00000259396 (pp) 9606.ENSP00000265132","false","pp","9606.ENSP00000259396 (pp) 9606.ENSP00000265132","0.335","0.0","0.0","0.0","0.0",,"0.0","0.922","0.888"
"2183.4718979351574","pp","9606.ENSP00000259396 (pp) 9606.ENSP00000450540","false","pp","9606.ENSP00000259396 (pp) 9606.ENSP00000450540","0.139","0.0","0.0","0.232","0.0",,"0.0","0.918","0.887"
"4184.319230076603","pp","9606.ENSP00000259396 (pp) 9606.ENSP00000421725","false","pp","9606.ENSP00000259396 (pp) 9606.ENSP00000421725","0.317","0.0","0.0","0.232","0.0",,"0.0","0.785","0.623"
"631.5351522845365","pp","9606.ENSP00000259396 (pp) 9606.ENSP00000356969","false","pp","9606.ENSP00000259396 (pp) 9606.ENSP00000356969","0.344","0.0","0.0","0.0","0.0",,"0.0","0.772","0.667"
"144.4790333581653","pp","9606.ENSP00000291744 (pp) 9606.ENSP00000296280","false","pp","9606.ENSP00000291744 (pp) 9606.ENSP00000296280","0.072","0.0","0.72","0.794","0.0",,"0.0","0.999","0.997"
"58.855690567075776","pp","9606.ENSP00000291744 (pp) 9606.ENSP00000363079","false","pp","9606.ENSP00000291744 (pp) 9606.ENSP00000363079","0.107","0.0","0.54","0.331","0.0",,"0.0","0.998","0.994"
"2204.0284678186345","pp","9606.ENSP00000291744 (pp) 9606.ENSP00000295927","false","pp","9606.ENSP00000291744 (pp) 9606.ENSP00000295927","0.0","0.0","0.0","0.622","0.0",,"0.0","0.954","0.885"
"502.8321438056875","pp","9606.ENSP00000291744 (pp) 9606.ENSP00000332723","false","pp","9606.ENSP00000291744 (pp) 9606.ENSP00000332723","0.107","0.0","0.54","0.094","0.0",,"0.0","0.95","0.883"
"4.548484848484848","pp","9606.ENSP00000291744 (pp) 9606.ENSP00000360871","false","pp","9606.ENSP00000291744 (pp) 9606.ENSP00000360871","0.086","0.052","0.72","0.585","0.0",,"0.0","0.945","0.539"
"23.025311213684475","pp","9606.ENSP00000291744 (pp) 9606.ENSP00000385035","false","pp","9606.ENSP00000291744 (pp) 9606.ENSP00000385035","0.0","0.0","0.4","0.0","0.0",,"0.0","0.835","0.737"
"5958.258152821382","pp","9606.ENSP00000291744 (pp) 9606.ENSP00000375608","false","pp","9606.ENSP00000291744 (pp) 9606.ENSP00000375608","0.0","0.0","0.0","0.0","0.0",,"0.0","0.802","0.802"
"313.6593883465602","pp","9606.ENSP00000291744 (pp) 9606.ENSP00000415941","false","pp","9606.ENSP00000291744 (pp) 9606.ENSP00000415941","0.075","0.0","0.4","0.0","0.0",,"0.0","0.772","0.623"
"26233.23177442539","pp","9606.ENSP00000341838 (pp) 9606.ENSP00000366488","false","pp","9606.ENSP00000341838 (pp) 9606.ENSP00000366488","0.0","0.0","0.9","0.0","0.0",,"0.0","0.952","0.549"
"1629.1210347071035","pp","9606.ENSP00000341838 (pp) 9606.ENSP00000386041","false","pp","9606.ENSP00000341838 (pp) 9606.ENSP00000386041","0.229","0.0","0.5","0.128","0.0",,"0.0","0.947","0.86"
"5559.236026582746","pp","9606.ENSP00000341838 (pp) 9606.ENSP00000365663","false","pp","9606.ENSP00000341838 (pp) 9606.ENSP00000365663","0.383","0.0","0.0","0.0","0.0",,"0.0","0.87","0.799"
"16956.404797059527","pp","9606.ENSP00000341838 (pp) 9606.ENSP00000355537","false","pp","9606.ENSP00000341838 (pp) 9606.ENSP00000355537","0.201","0.0","0.0","0.068","0.0",,"0.0","0.785","0.734"
"11085.410821089721","pp","9606.ENSP00000341838 (pp) 9606.ENSP00000477999","false","pp","9606.ENSP00000341838 (pp) 9606.ENSP00000477999","0.0","0.0","0.75","0.0","0.0",,"0.0","0.771","0.125"
