"EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"532.4969696969695","pp","9606.ENSP00000444029 (pp) 9606.ENSP00000446215","false","pp","9606.ENSP00000444029 (pp) 9606.ENSP00000446215","0.068","0.0","0.5","0.985","0.0",,"0.0","0.996","0.447"
"197.39999999999998","pp","9606.ENSP00000355465 (pp) 9606.ENSP00000444029","false","pp","9606.ENSP00000355465 (pp) 9606.ENSP00000444029","0.272","0.0","0.0","0.0","0.0",,"0.0","0.977","0.97"
"147.40407370407368","pp","9606.ENSP00000406549 (pp) 9606.ENSP00000481733","false","pp","9606.ENSP00000406549 (pp) 9606.ENSP00000481733","0.049","0.0","0.0","0.8","0.0",,"0.0","0.825","0.157"
"1502.043406593407","pp","9606.ENSP00000406549 (pp) 9606.ENSP00000473172","false","pp","9606.ENSP00000406549 (pp) 9606.ENSP00000473172","0.0","0.0","0.9","0.137","0.0",,"0.0","0.921","0.16"
"1790.0839160839175","pp","9606.ENSP00000406549 (pp) 9606.ENSP00000481920","false","pp","9606.ENSP00000406549 (pp) 9606.ENSP00000481920","0.049","0.0","0.0","0.8","0.0",,"0.0","0.846","0.258"
"408.0","pp","9606.ENSP00000297431 (pp) 9606.ENSP00000328174","false","pp","9606.ENSP00000297431 (pp) 9606.ENSP00000328174","0.044","0.0","0.0","0.84","0.0",,"0.0","0.915","0.492"
"408.0","pp","9606.ENSP00000292616 (pp) 9606.ENSP00000297431","false","pp","9606.ENSP00000292616 (pp) 9606.ENSP00000297431","0.091","0.0","0.9","0.835","0.0",,"0.0","0.994","0.682"
"408.0","pp","9606.ENSP00000296257 (pp) 9606.ENSP00000444029","false","pp","9606.ENSP00000296257 (pp) 9606.ENSP00000444029","0.138","0.0","0.9","0.667","0.0",,"0.0","0.981","0.416"
"1212.0","pp","9606.ENSP00000297431 (pp) 9606.ENSP00000393139","false","pp","9606.ENSP00000297431 (pp) 9606.ENSP00000393139","0.265","0.0","0.5","0.689","0.0",,"0.0","0.967","0.751"
"3152.0","pp","9606.ENSP00000297261 (pp) 9606.ENSP00000377934","false","pp","9606.ENSP00000297261 (pp) 9606.ENSP00000377934","0.055","0.0","0.0","0.071","0.0",,"0.0","0.761","0.75"
"574.0","pp","9606.ENSP00000353874 (pp) 9606.ENSP00000380697","false","pp","9606.ENSP00000353874 (pp) 9606.ENSP00000380697","0.072","0.0","0.5","0.0","0.0",,"0.0","0.969","0.939"
"2388.0","pp","9606.ENSP00000297261 (pp) 9606.ENSP00000400341","false","pp","9606.ENSP00000297261 (pp) 9606.ENSP00000400341","0.075","0.0","0.75","0.0","0.0",,"0.0","0.956","0.825"
"408.0","pp","9606.ENSP00000297261 (pp) 9606.ENSP00000376322","false","pp","9606.ENSP00000297261 (pp) 9606.ENSP00000376322","0.048","0.0","0.0","0.0","0.0",,"0.0","0.87","0.869"
"265.0","pp","9606.ENSP00000327290 (pp) 9606.ENSP00000378340","false","pp","9606.ENSP00000327290 (pp) 9606.ENSP00000378340","0.042","0.0","0.65","0.0","0.0",,"0.0","0.76","0.344"
"408.0","pp","9606.ENSP00000400341 (pp) 9606.ENSP00000438804","false","pp","9606.ENSP00000400341 (pp) 9606.ENSP00000438804","0.103","0.0","0.0","0.0","0.0",,"0.0","0.899","0.893"
"408.0","pp","9606.ENSP00000299563 (pp) 9606.ENSP00000483236","false","pp","9606.ENSP00000299563 (pp) 9606.ENSP00000483236","0.082","0.0","0.0","0.625","0.0",,"0.0","0.797","0.458"
"336.0","pp","9606.ENSP00000327290 (pp) 9606.ENSP00000379350","false","pp","9606.ENSP00000327290 (pp) 9606.ENSP00000379350","0.098","0.0","0.9","0.114","0.0",,"0.0","0.981","0.796"
"726.0505734032056","pp","9606.ENSP00000300134 (pp) 9606.ENSP00000385216","false","pp","9606.ENSP00000300134 (pp) 9606.ENSP00000385216","0.061","0.0","0.0","0.983","0.0",,"0.0","0.997","0.872"
