Metrica,display.name,log2FoldChange,Degree,Eigenvector,ClosenessCentrality,BetweennessCentrality,Eccentricity,Score_Importancia
log2FC_Pos,GABRG3,29.363,NA,NA,NA,NA,NA,NA
log2FC_Pos,VCAM1,29.2176,NA,NA,NA,NA,NA,NA
log2FC_Pos,CXorf66,29.1314,NA,NA,NA,NA,NA,NA
log2FC_Pos,CCL11,28.3473,NA,NA,NA,NA,NA,NA
log2FC_Pos,CCL13,28.1634,NA,NA,NA,NA,NA,NA
log2FC_Pos,ITLN1,28.1426,NA,NA,NA,NA,NA,NA
log2FC_Pos,SAG,28.0998,NA,NA,NA,NA,NA,NA
log2FC_Pos,SLC18A3,27.8423,NA,NA,NA,NA,NA,NA
log2FC_Pos,AMPD1,27.6835,NA,NA,NA,NA,NA,NA
log2FC_Pos,CER1,27.3646,NA,NA,NA,NA,NA,NA
log2FC_Neg,OLR1,-28.3178,NA,NA,NA,NA,NA,NA
log2FC_Neg,MUC16,-25.8683,NA,NA,NA,NA,NA,NA
log2FC_Neg,PTGIR,-25.6951,NA,NA,NA,NA,NA,NA
log2FC_Neg,FOXE1,-25.301,NA,NA,NA,NA,NA,NA
log2FC_Neg,ANKRD1,-23.3254,NA,NA,NA,NA,NA,NA
log2FC_Neg,TNIP3,-22.6042,NA,NA,NA,NA,NA,NA
log2FC_Neg,PSG4,-22.3694,NA,NA,NA,NA,NA,NA
log2FC_Neg,FPR1,-22.3404,NA,NA,NA,NA,NA,NA
log2FC_Neg,TNNI1,-21.9847,NA,NA,NA,NA,NA,NA
log2FC_Neg,FPR2,-20.6725,NA,NA,NA,NA,NA,NA
Degree,ALB,NA,45,NA,NA,NA,NA,NA
Degree,CD44,NA,41,NA,NA,NA,NA,NA
Degree,IL1B,NA,38,NA,NA,NA,NA,NA
Degree,CXCR4,NA,38,NA,NA,NA,NA,NA
Degree,FAU,NA,36,NA,NA,NA,NA,NA
Degree,CXCL12,NA,32,NA,NA,NA,NA,NA
Degree,POMC,NA,29,NA,NA,NA,NA,NA
Degree,F2,NA,26,NA,NA,NA,NA,NA
Degree,MMP9,NA,26,NA,NA,NA,NA,NA
Degree,APOB,NA,25,NA,NA,NA,NA,NA
Eigenvector,CXCR4,NA,NA,0.2636653780937195,NA,NA,NA,NA
Eigenvector,CXCL12,NA,NA,0.2608424425125122,NA,NA,NA,NA
Eigenvector,CXCL9,NA,NA,0.23774713277816772,NA,NA,NA,NA
Eigenvector,CCL13,NA,NA,0.22518624365329742,NA,NA,NA,NA
Eigenvector,CCR3,NA,NA,0.22152931988239288,NA,NA,NA,NA
Eigenvector,CCL19,NA,NA,0.21746955811977386,NA,NA,NA,NA
Eigenvector,CXCR3,NA,NA,0.21661488711833954,NA,NA,NA,NA
Eigenvector,CXCL13,NA,NA,0.21522890031337738,NA,NA,NA,NA
Eigenvector,CXCR2,NA,NA,0.21037442982196808,NA,NA,NA,NA
Eigenvector,CCL20,NA,NA,0.20651212334632874,NA,NA,NA,NA
ClosenessCentrality,VWF,NA,NA,NA,0.27453271028037385,NA,NA,NA
ClosenessCentrality,CXCR4,NA,NA,NA,0.2727800348229832,NA,NA,NA
ClosenessCentrality,ALB,NA,NA,NA,0.27042577675489066,NA,NA,NA
ClosenessCentrality,IL1B,NA,NA,NA,0.2656868287167891,NA,NA,NA
ClosenessCentrality,CD44,NA,NA,NA,0.2639707947205841,NA,NA,NA
ClosenessCentrality,ICAM1,NA,NA,NA,0.26279004752585966,NA,NA,NA
ClosenessCentrality,FLNA,NA,NA,NA,0.26140155728587317,NA,NA,NA
ClosenessCentrality,VCAM1,NA,NA,NA,0.259812050856827,NA,NA,NA
ClosenessCentrality,MMP9,NA,NA,NA,0.2592388306674021,NA,NA,NA
ClosenessCentrality,CRP,NA,NA,NA,0.2577460926789142,NA,NA,NA
BetweennessCentrality,ALB,NA,NA,NA,NA,0.1324747868246631,NA,NA
BetweennessCentrality,FAU,NA,NA,NA,NA,0.12461890430330567,NA,NA
BetweennessCentrality,CXCR4,NA,NA,NA,NA,0.10661301693728581,NA,NA
BetweennessCentrality,CD44,NA,NA,NA,NA,0.1027749164451873,NA,NA
BetweennessCentrality,CAMK2B,NA,NA,NA,NA,0.08318272334853317,NA,NA
BetweennessCentrality,VWF,NA,NA,NA,NA,0.08266170906819922,NA,NA
BetweennessCentrality,FLNA,NA,NA,NA,NA,0.07707957991997468,NA,NA
BetweennessCentrality,NCAM1,NA,NA,NA,NA,0.07290027055070177,NA,NA
BetweennessCentrality,ACE2,NA,NA,NA,NA,0.07227851746572544,NA,NA
BetweennessCentrality,IL1B,NA,NA,NA,NA,0.06859900688379279,NA,NA
Eccentricity,ZNF613,NA,NA,NA,NA,NA,16,NA
Eccentricity,MAGEC2,NA,NA,NA,NA,NA,16,NA
Eccentricity,FLRT2,NA,NA,NA,NA,NA,16,NA
Eccentricity,MS4A2,NA,NA,NA,NA,NA,16,NA
Eccentricity,FEZF2,NA,NA,NA,NA,NA,16,NA
