Metrica,display.name,log2FoldChange,Degree,Eigenvector,ClosenessCentrality,BetweennessCentrality,Eccentricity,Score_Importancia
log2FC_Pos,TNFRSF6B,9.96418,NA,NA,NA,NA,NA,NA
log2FC_Pos,JAG1,9.92511,NA,NA,NA,NA,NA,NA
log2FC_Pos,PWP2,9.64711,NA,NA,NA,NA,NA,NA
log2FC_Pos,LOXL4,9.55052,NA,NA,NA,NA,NA,NA
log2FC_Pos,CAMK1D,9.50721,NA,NA,NA,NA,NA,NA
log2FC_Pos,IL7R,9.45911,NA,NA,NA,NA,NA,NA
log2FC_Pos,FST,9.43441,NA,NA,NA,NA,NA,NA
log2FC_Pos,CXCR5,9.39127,NA,NA,NA,NA,NA,NA
log2FC_Pos,FHL2,9.38017,NA,NA,NA,NA,NA,NA
log2FC_Pos,TRIM74,9.36143,NA,NA,NA,NA,NA,NA
log2FC_Neg,BBOX1,-9.9949,NA,NA,NA,NA,NA,NA
log2FC_Neg,SLC2A5,-9.99482,NA,NA,NA,NA,NA,NA
log2FC_Neg,RPEL1,-9.9886,NA,NA,NA,NA,NA,NA
log2FC_Neg,DOK6,-9.97302,NA,NA,NA,NA,NA,NA
log2FC_Neg,OTOP1,-9.96854,NA,NA,NA,NA,NA,NA
log2FC_Neg,SERPINA7,-9.96673,NA,NA,NA,NA,NA,NA
log2FC_Neg,FGF8,-9.96296,NA,NA,NA,NA,NA,NA
log2FC_Neg,KIT,-9.96226,NA,NA,NA,NA,NA,NA
log2FC_Neg,COLEC12,-9.95515,NA,NA,NA,NA,NA,NA
log2FC_Neg,ASIC2,-9.95093,NA,NA,NA,NA,NA,NA
Degree,CD44,NA,60,NA,NA,NA,NA,NA
Degree,STAT3,NA,58,NA,NA,NA,NA,NA
Degree,GNAQ,NA,47,NA,NA,NA,NA,NA
Degree,EGF,NA,45,NA,NA,NA,NA,NA
Degree,GNG2,NA,40,NA,NA,NA,NA,NA
Degree,IL1B,NA,37,NA,NA,NA,NA,NA
Degree,TLR4,NA,33,NA,NA,NA,NA,NA
Degree,PIK3R1,NA,33,NA,NA,NA,NA,NA
Degree,JAK1,NA,31,NA,NA,NA,NA,NA
Degree,CSF2,NA,30,NA,NA,NA,NA,NA
Eigenvector,STAT3,NA,NA,0.28110450506210327,NA,NA,NA,NA
Eigenvector,CD44,NA,NA,0.24593830108642578,NA,NA,NA,NA
Eigenvector,EGF,NA,NA,0.21721823513507843,NA,NA,NA,NA
Eigenvector,CSF2,NA,NA,0.19914691150188446,NA,NA,NA,NA
Eigenvector,IL1B,NA,NA,0.17617401480674744,NA,NA,NA,NA
Eigenvector,KIT,NA,NA,0.16475343704223633,NA,NA,NA,NA
Eigenvector,TLR4,NA,NA,0.15379178524017334,NA,NA,NA,NA
Eigenvector,ITGAM,NA,NA,0.1509730964899063,NA,NA,NA,NA
Eigenvector,PDGFRB,NA,NA,0.14981648325920105,NA,NA,NA,NA
Eigenvector,JAK1,NA,NA,0.14665138721466064,NA,NA,NA,NA
ClosenessCentrality,STAT3,NA,NA,NA,0.28878685355244077,NA,NA,NA
ClosenessCentrality,CD44,NA,NA,NA,0.282172373081464,NA,NA,NA
ClosenessCentrality,CAV1,NA,NA,NA,0.2811764705882353,NA,NA,NA
ClosenessCentrality,TLR4,NA,NA,NA,0.27585410895660206,NA,NA,NA
ClosenessCentrality,PIK3R1,NA,NA,NA,0.2751554225189961,NA,NA,NA
ClosenessCentrality,EGF,NA,NA,NA,0.2708522212148685,NA,NA,NA
ClosenessCentrality,KIT,NA,NA,NA,0.2704231726634985,NA,NA,NA
ClosenessCentrality,ICAM1,NA,NA,NA,0.26956914053688247,NA,NA,NA
ClosenessCentrality,GNAQ,NA,NA,NA,0.2690229626294462,NA,NA,NA
ClosenessCentrality,APOE,NA,NA,NA,0.26691981237435786,NA,NA,NA
BetweennessCentrality,STAT3,NA,NA,NA,NA,0.1419247606075684,NA,NA
BetweennessCentrality,GNAQ,NA,NA,NA,NA,0.10769889957417307,NA,NA
BetweennessCentrality,CD44,NA,NA,NA,NA,0.1053009336516786,NA,NA
BetweennessCentrality,GNG2,NA,NA,NA,NA,0.1009468487241407,NA,NA
BetweennessCentrality,CAV1,NA,NA,NA,NA,0.0811384719043191,NA,NA
BetweennessCentrality,AR,NA,NA,NA,NA,0.05956284984071153,NA,NA
BetweennessCentrality,PIK3R1,NA,NA,NA,NA,0.05712571889654589,NA,NA
BetweennessCentrality,TLR4,NA,NA,NA,NA,0.056844748832063,NA,NA
BetweennessCentrality,APOE,NA,NA,NA,NA,0.0556880063163744,NA,NA
BetweennessCentrality,EGF,NA,NA,NA,NA,0.05370766917286416,NA,NA
Eccentricity,SVIL,NA,NA,NA,NA,NA,16,NA
Eccentricity,MRPS24,NA,NA,NA,NA,NA,16,NA
Eccentricity,CCNT2,NA,NA,NA,NA,NA,16,NA
Eccentricity,AIFM2,NA,NA,NA,NA,NA,16,NA
Eccentricity,ALDH1L2,NA,NA,NA,NA,NA,16,NA
Eccentricity,GTF2H2C,NA,NA,NA,NA,NA,16,NA
