Metrica,display.name,log2FoldChange,Degree,Eigenvector,ClosenessCentrality,BetweennessCentrality,Eccentricity,Score_Importancia
log2FC_Pos,JSRP1,16.4487,NA,NA,NA,NA,NA,NA
log2FC_Pos,GPR119,15.3535,NA,NA,NA,NA,NA,NA
log2FC_Pos,MYT1L,14.8595,NA,NA,NA,NA,NA,NA
log2FC_Pos,TMEM213,14.8241,NA,NA,NA,NA,NA,NA
log2FC_Pos,PROP1,14.4586,NA,NA,NA,NA,NA,NA
log2FC_Pos,TRH,14.4386,NA,NA,NA,NA,NA,NA
log2FC_Pos,TNFRSF4,14.3476,NA,NA,NA,NA,NA,NA
log2FC_Pos,GNGT2,14.3247,NA,NA,NA,NA,NA,NA
log2FC_Pos,CABS1,14.2056,NA,NA,NA,NA,NA,NA
log2FC_Pos,LPAR4,14.0837,NA,NA,NA,NA,NA,NA
log2FC_Neg,ACTL6B,-15.7486,NA,NA,NA,NA,NA,NA
log2FC_Neg,KHDC3L,-14.583,NA,NA,NA,NA,NA,NA
log2FC_Neg,CCL13,-14.3259,NA,NA,NA,NA,NA,NA
log2FC_Neg,SLC17A6,-14.248,NA,NA,NA,NA,NA,NA
log2FC_Neg,IFNA13,-14.1713,NA,NA,NA,NA,NA,NA
log2FC_Neg,CYP2A13,-14.0069,NA,NA,NA,NA,NA,NA
log2FC_Neg,DOK5,-13.9435,NA,NA,NA,NA,NA,NA
log2FC_Neg,GABRG3,-13.897,NA,NA,NA,NA,NA,NA
log2FC_Neg,KCNK2,-13.8753,NA,NA,NA,NA,NA,NA
log2FC_Neg,PIK3CG,-13.8699,NA,NA,NA,NA,NA,NA
Degree,PRKACG,NA,39,NA,NA,NA,NA,NA
Degree,EGF,NA,36,NA,NA,NA,NA,NA
Degree,TLR4,NA,30,NA,NA,NA,NA,NA
Degree,POMC,NA,29,NA,NA,NA,NA,NA
Degree,CXCR4,NA,29,NA,NA,NA,NA,NA
Degree,CD19,NA,28,NA,NA,NA,NA,NA
Degree,PIK3CA,NA,27,NA,NA,NA,NA,NA
Degree,GCG,NA,25,NA,NA,NA,NA,NA
Degree,APOE,NA,24,NA,NA,NA,NA,NA
Degree,IL1A,NA,23,NA,NA,NA,NA,NA
Eigenvector,EGF,NA,NA,0.31429529190063477,NA,NA,NA,NA
Eigenvector,HGF,NA,NA,0.2540169060230255,NA,NA,NA,NA
Eigenvector,FGF4,NA,NA,0.21217145025730133,NA,NA,NA,NA
Eigenvector,FGFR1,NA,NA,0.21057572960853577,NA,NA,NA,NA
Eigenvector,FGF17,NA,NA,0.21029897034168243,NA,NA,NA,NA
Eigenvector,PDGFRB,NA,NA,0.20816992223262787,NA,NA,NA,NA
Eigenvector,PDGFRA,NA,NA,0.20147234201431274,NA,NA,NA,NA
Eigenvector,FLT1,NA,NA,0.19005627930164337,NA,NA,NA,NA
Eigenvector,FGF16,NA,NA,0.18963995575904846,NA,NA,NA,NA
Eigenvector,FGF18,NA,NA,0.18963995575904846,NA,NA,NA,NA
ClosenessCentrality,TLR4,NA,NA,NA,0.2619357638888889,NA,NA,NA
ClosenessCentrality,EGF,NA,NA,NA,0.2581818181818182,NA,NA,NA
ClosenessCentrality,APOE,NA,NA,NA,0.25448028673835127,NA,NA,NA
ClosenessCentrality,AGT,NA,NA,NA,0.25437302423603797,NA,NA,NA
ClosenessCentrality,CXCR4,NA,NA,NA,0.25394487691984013,NA,NA,NA
ClosenessCentrality,PRKACG,NA,NA,NA,0.25314597315436244,NA,NA,NA
ClosenessCentrality,ESR1,NA,NA,NA,0.25293378038558256,NA,NA,NA
ClosenessCentrality,CD36,NA,NA,NA,0.25067497403946004,NA,NA,NA
ClosenessCentrality,POMC,NA,NA,NA,0.24979304635761587,NA,NA,NA
ClosenessCentrality,ERBB4,NA,NA,NA,0.24953483564192683,NA,NA,NA
