Metrica,display.name,log2FoldChange,Degree,Eigenvector,ClosenessCentrality,BetweennessCentrality,Eccentricity,Score_Importancia
log2FC_Pos,PYGL,8.59334,NA,NA,NA,NA,NA,NA
log2FC_Pos,RUVBL2,8.04635,NA,NA,NA,NA,NA,NA
log2FC_Pos,DNAJC6,6.87849,NA,NA,NA,NA,NA,NA
log2FC_Pos,NCOA1,6.79122,NA,NA,NA,NA,NA,NA
log2FC_Pos,RGS14,6.54404,NA,NA,NA,NA,NA,NA
log2FC_Pos,FOXM1,6.51445,NA,NA,NA,NA,NA,NA
log2FC_Pos,AURKAIP1,6.47485,NA,NA,NA,NA,NA,NA
log2FC_Pos,CSNK2A1,5.68849,NA,NA,NA,NA,NA,NA
log2FC_Pos,PRPF3,5.57011,NA,NA,NA,NA,NA,NA
log2FC_Pos,MED6,5.36073,NA,NA,NA,NA,NA,NA
log2FC_Neg,AS3MT,-9.96715,NA,NA,NA,NA,NA,NA
log2FC_Neg,ACADVL,-9.96308,NA,NA,NA,NA,NA,NA
log2FC_Neg,AHCTF1,-9.93448,NA,NA,NA,NA,NA,NA
log2FC_Neg,PARN,-9.87298,NA,NA,NA,NA,NA,NA
log2FC_Neg,NRCAM,-9.85419,NA,NA,NA,NA,NA,NA
log2FC_Neg,WDR26,-9.80345,NA,NA,NA,NA,NA,NA
log2FC_Neg,SNRNP70,-9.79295,NA,NA,NA,NA,NA,NA
log2FC_Neg,FBXL3,-9.73019,NA,NA,NA,NA,NA,NA
log2FC_Neg,TLR8,-9.72877,NA,NA,NA,NA,NA,NA
log2FC_Neg,ELF3,-9.7208,NA,NA,NA,NA,NA,NA
Degree,RPS5,NA,21,NA,NA,NA,NA,NA
Degree,RPS24,NA,19,NA,NA,NA,NA,NA
Degree,RPL5,NA,18,NA,NA,NA,NA,NA
Degree,RPL14,NA,17,NA,NA,NA,NA,NA
Degree,RPL19,NA,16,NA,NA,NA,NA,NA
Degree,MRPL3,NA,15,NA,NA,NA,NA,NA
Degree,MRPS10,NA,13,NA,NA,NA,NA,NA
Degree,UBE2I,NA,12,NA,NA,NA,NA,NA
Degree,EIF1AX,NA,11,NA,NA,NA,NA,NA
Degree,RPL36AL,NA,11,NA,NA,NA,NA,NA
Eigenvector,RPS5,NA,NA,0.3341113328933716,NA,NA,NA,NA
Eigenvector,RPS24,NA,NA,0.32003647089004517,NA,NA,NA,NA
Eigenvector,RPL5,NA,NA,0.3039185702800751,NA,NA,NA,NA
Eigenvector,RPL14,NA,NA,0.29541510343551636,NA,NA,NA,NA
Eigenvector,RPL19,NA,NA,0.28212857246398926,NA,NA,NA,NA
Eigenvector,MRPS10,NA,NA,0.24761389195919037,NA,NA,NA,NA
Eigenvector,MRPL3,NA,NA,0.247576043009758,NA,NA,NA,NA
Eigenvector,RPL36AL,NA,NA,0.23143047094345093,NA,NA,NA,NA
Eigenvector,WDR31,NA,NA,0.22677655518054962,NA,NA,NA,NA
Eigenvector,ARL6IP1,NA,NA,0.20340105891227722,NA,NA,NA,NA
ClosenessCentrality,GLYCTK,NA,NA,NA,0.8,NA,NA,NA
ClosenessCentrality,WNT2B,NA,NA,NA,0.8,NA,NA,NA
ClosenessCentrality,FZD8,NA,NA,NA,0.6666666666666666,NA,NA,NA
ClosenessCentrality,MAN2C1,NA,NA,NA,0.6666666666666666,NA,NA,NA
ClosenessCentrality,LCE3D,NA,NA,NA,0.6666666666666666,NA,NA,NA
ClosenessCentrality,HSD3B1,NA,NA,NA,0.6666666666666666,NA,NA,NA
ClosenessCentrality,LSS,NA,NA,NA,0.6,NA,NA,NA
ClosenessCentrality,LCE1E,NA,NA,NA,0.6,NA,NA,NA
ClosenessCentrality,PGAM1,NA,NA,NA,0.5714285714285714,NA,NA,NA
ClosenessCentrality,PGAM4,NA,NA,NA,0.5714285714285714,NA,NA,NA
BetweennessCentrality,WNT2B,NA,NA,NA,NA,0.8333333333333333,NA,NA
BetweennessCentrality,ITGB1,NA,NA,NA,NA,0.7446808510638298,NA,NA
BetweennessCentrality,LCE3D,NA,NA,NA,NA,0.7333333333333333,NA,NA
BetweennessCentrality,HSD3B1,NA,NA,NA,NA,0.7333333333333333,NA,NA
BetweennessCentrality,GLYCTK,NA,NA,NA,NA,0.6666666666666666,NA,NA
BetweennessCentrality,RAB3A,NA,NA,NA,NA,0.6666666666666666,NA,NA
BetweennessCentrality,LCE1E,NA,NA,NA,NA,0.6,NA,NA
BetweennessCentrality,IGF1R,NA,NA,NA,NA,0.5913120567375887,NA,NA
BetweennessCentrality,VAMP2,NA,NA,NA,NA,0.5555555555555556,NA,NA
BetweennessCentrality,LSS,NA,NA,NA,NA,0.5333333333333333,NA,NA
Eccentricity,RNF19A,NA,NA,NA,NA,NA,15,NA
Eccentricity,AREL1,NA,NA,NA,NA,NA,15,NA
Eccentricity,WDR26,NA,NA,NA,NA,NA,15,NA
Eccentricity,FAH,NA,NA,NA,NA,NA,15,NA
Eccentricity,ZBTB20,NA,NA,NA,NA,NA,15,NA
Eccentricity,GPT2,NA,NA,NA,NA,NA,15,NA
Eccentricity,UBE2L3,NA,NA,NA,NA,NA,14,NA
Eccentricity,HNF1A,NA,NA,NA,NA,NA,14,NA
Eccentricity,UBE2H,NA,NA,NA,NA,NA,14,NA
Eccentricity,AFP,NA,NA,NA,NA,NA,14,NA
Score_Importancia,RPS5,NA,NA,NA,NA,NA,NA,0.6054437635175027
Score_Importancia,RPS24,NA,NA,NA,NA,NA,NA,0.5568279221851964
Score_Importancia,RPL5,NA,NA,NA,NA,NA,NA,0.5378592215948023
Score_Importancia,WNT2B,NA,NA,NA,NA,NA,NA,0.5357142857142857
Score_Importancia,RPL19,NA,NA,NA,NA,NA,NA,0.49466679390904444
Score_Importancia,RPL14,NA,NA,NA,NA,NA,NA,0.4939628105445365
Score_Importancia,GLYCTK,NA,NA,NA,NA,NA,NA,0.4857142857142857
Score_Importancia,HSD3B1,NA,NA,NA,NA,NA,NA,0.47595238095238096
Score_Importancia,LCE3D,NA,NA,NA,NA,NA,NA,0.46404761904761904
Score_Importancia,MRPL3,NA,NA,NA,NA,NA,NA,0.4488812591408542
