"ENTREZ_GENE_ID","Original ID","Value","Gene Name","Species"
"1","ENSG00000121410","","alpha-1-B glycoprotein(A1BG)","Homo sapiens"
"2","ENSG00000175899","","alpha-2-macroglobulin(A2M)","Homo sapiens"
"9","ENSG00000171428","","N-acetyltransferase 1(NAT1)","Homo sapiens"
"10","ENSG00000156006","","N-acetyltransferase 2(NAT2)","Homo sapiens"
"12","ENSG00000196136","","serpin family A member 3(SERPINA3)","Homo sapiens"
"13","ENSG00000114771","","arylacetamide deacetylase(AADAC)","Homo sapiens"
"14","ENSG00000127837","","angio associated migratory cell protein(AAMP)","Homo sapiens"
"15","ENSG00000129673","","aralkylamine N-acetyltransferase(AANAT)","Homo sapiens"
"16","ENSG00000090861","","alanyl-tRNA synthetase 1(AARS1)","Homo sapiens"
"18","ENSG00000183044","","4-aminobutyrate aminotransferase(ABAT)","Homo sapiens"
"19","ENSG00000165029","","ATP binding cassette subfamily A member 1(ABCA1)","Homo sapiens"
"20","ENSG00000107331","","ATP binding cassette subfamily A member 2(ABCA2)","Homo sapiens"
"21","ENSG00000167972","","ATP binding cassette subfamily A member 3(ABCA3)","Homo sapiens"
"22","ENSG00000131269","","ATP binding cassette subfamily B member 7(ABCB7)","Homo sapiens"
"23","ENSG00000204574","","ATP binding cassette subfamily F member 1(ABCF1)","Homo sapiens"
"24","ENSG00000198691","","ATP binding cassette subfamily A member 4(ABCA4)","Homo sapiens"
"25","ENSG00000097007","","ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)","Homo sapiens"
"26","ENSG00000002726","","amine oxidase copper containing 1(AOC1)","Homo sapiens"
"27","ENSG00000143322","","ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)","Homo sapiens"
"28","ENSG00000175164","","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase(ABO)","Homo sapiens"
"29","ENSG00000159842","","ABR activator of RhoGEF and GTPase(ABR)","Homo sapiens"
"30","ENSG00000060971","","acetyl-CoA acyltransferase 1(ACAA1)","Homo sapiens"
"31","ENSG00000278540","","acetyl-CoA carboxylase alpha(ACACA)","Homo sapiens"
"32","ENSG00000076555","","acetyl-CoA carboxylase beta(ACACB)","Homo sapiens"
"33","ENSG00000115361","","acyl-CoA dehydrogenase long chain(ACADL)","Homo sapiens"
"34","ENSG00000117054","","acyl-CoA dehydrogenase medium chain(ACADM)","Homo sapiens"
"35","ENSG00000122971","","acyl-CoA dehydrogenase short chain(ACADS)","Homo sapiens"
"36","ENSG00000196177","","acyl-CoA dehydrogenase short/branched chain(ACADSB)","Homo sapiens"
"37","ENSG00000072778","","acyl-CoA dehydrogenase very long chain(ACADVL)","Homo sapiens"
"38","ENSG00000075239","","acetyl-CoA acetyltransferase 1(ACAT1)","Homo sapiens"
"39","ENSG00000120437","","acetyl-CoA acetyltransferase 2(ACAT2)","Homo sapiens"
"40","ENSG00000108684","","acid sensing ion channel subunit 2(ASIC2)","Homo sapiens"
"41","ENSG00000110881","","acid sensing ion channel subunit 1(ASIC1)","Homo sapiens"
"43","ENSG00000087085","","acetylcholinesterase (Yt blood group)(ACHE)","Homo sapiens"
"47","ENSG00000131473","","ATP citrate lyase(ACLY)","Homo sapiens"
