gene_ID	counts	Control1	Control2	Control3
1	A1BG	44	21	52
503538	A1BG-AS1	3	2	3
29974	A1CF	92	83	115
2	A2M	12	4	14
144571	A2M-AS1	11	1	5
144568	A2ML1	0	0	0
124903067	A2MP1	0	0	0
127550	A3GALT2	0	0	0
53947	A4GALT	2	0	2
51146	A4GNT	0	0	0
100506677	AA06	0	0	0
8086	AAAS	128	83	141
65985	AACS	431	364	644
729522	AACSP1	6	3	6
13	AADAC	0	0	0
344752	AADACL2	0	0	0
101928142	AADACL2-AS1	0	0	0
126767	AADACL3	0	0	0
343066	AADACL4	0	0	0
201651	AADACP1	0	0	0
51166	AADAT	18	4	14
79719	AAED1	14	22	37
22848	AAGAB	509	389	835
28971	AAK1	776	730	1091
14	AAMDC	51	80	88
15	AAMP	951	670	1445
25980	AANAT	0	0	0
441376	AAR2	94	93	96
57505	AARD	2	3	2
80755	AARS	616	531	712
132949	AARS2	148	129	206
60496	AARSD1	0	0	0
10157	AASDH	78	71	147
284837	AASDHPPT	197	170	330
26574	AASS	163	113	295
9625	AATBC	0	1	1
18	AATF	232	260	363
19	AATK	1	0	12
10349	AATK-AS1	0	0	0
79963	ABALON	14	8	28
26154	ABAT	24	18	41
154664	ABCA1	2	1	5
650655	ABCA10	5	5	11
20	ABCA11P	11	6	18
21	ABCA12	5	3	4
24	ABCA13	0	0	0
23461	ABCA17P	0	0	1
23460	ABCA2	164	131	192
10347	ABCA3	282	265	378
10351	ABCA4	2	0	0
10350	ABCA5	119	74	192
104355297	ABCA6	0	0	2
5243	ABCA7	181	148	190
23456	ABCA8	7	4	16
8647	ABCA9	0	0	1
5244	ABCA9-AS1	0	0	0
340273	ABCB1	10	4	18
10058	ABCB10	60	37	83
22	ABCB11	0	0	0
11194	ABCB4	13	20	11
23457	ABCB5	1	2	1
4363	ABCB6	504	441	700
89845	ABCB7	205	160	278
85320	ABCB8	55	39	62
94160	ABCB9	62	53	62
150000	ABCC1	34	36	46
1244	ABCC10	14	8	20
8714	ABCC11	7	1	2
10257	ABCC12	0	0	0
10057	ABCC13	2	3	5
100873982	ABCC2	89	54	83
368	ABCC3	0	0	0
653190	ABCC4	8	8	23
730013	ABCC5	220	175	319
6833	ABCC5-AS1	0	1	0
10060	ABCC6	5	9	11
215	ABCC6P1	6	5	6
225	ABCC6P2	1	0	2
5825	ABCC8	2	0	3
5826	ABCC9	0	0	0
6059	ABCD1	1	3	3
23	ABCD2	2	3	2
10061	ABCD3	258	197	414
55324	ABCD4	29	19	48
9619	ABCE1	198	173	423
9429	ABCF1	522	569	783
64137	ABCF2	364	305	535
64240	ABCF3	61	52	69
64241	ABCG1	17	8	29
84696	ABCG2	12	1	5
55347	ABCG4	0	0	0
83451	ABCG5	0	0	0
26090	ABCG8	0	0	0
145447	ABHD1	12	4	5
84945	ABHD10	228	196	273
25864	ABHD11	662	612	814
100526760	ABHD11-AS1	3	0	9
84836	ABHD12	181	141	227
116236	ABHD12B	0	0	0
7920	ABHD13	48	45	91
140701	ABHD14A	15	13	30
81926	ABHD14A-ACY1	0	0	0
51104	ABHD14B	184	182	291
58489	ABHD15	35	35	59
80167	ABHD16A	324	291	515
11057	ABHD16B	30	18	19
171586	ABHD17A	43	30	39
63874	ABHD17B	90	76	107
51099	ABHD17C	429	342	821
57406	ABHD18	87	71	125
79575	ABHD2	875	701	1433
10006	ABHD3	29	17	67
10152	ABHD4	22	31	45
51225	ABHD5	243	187	360
25890	ABHD6	17	10	25
25	ABHD8	46	51	61
27	ABI1	256	236	367
3983	ABI2	523	383	789
84448	ABI3	0	0	0
22885	ABI3BP	3	3	2
28	ABL1	216	117	224
29	ABL2	158	138	294
137735	ABLIM1	571	565	861
58527	ABLIM2	9	0	4
29777	ABLIM3	18	16	19
80325	ABO	0	0	0
