gene_id	Ensamble	gene_name	BPH-1-1	BPH-1-2	BPH-1-3	BPH-1-4	DU145-1	DU145-2	DU145-3	DU145-4	PC3-1	PC3-2	PC3-3	PC3-4
7105	ENSG00000000003	TSPAN6	5.274642531	4.293105316	4.29519201	3.892634659	1.188697614	1.534356574	0.778857879	2.172018858	2.949316066	3.098467144	2.539854256	1.766796901
64102	ENSG00000000005	TNMD	0	0	0	0	0	0	0	0	0	0	0	0
8813	ENSG00000000419	DPM1	36.90177794	30.21328057	36.11656299	30.48794755	24.29759345	34.03618503	18.55237092	29.37697762	30.95380546	26.58110474	17.66495624	21.42883892
57147	ENSG00000000457	SCYL3	1.489698271	1.869781362	1.636588637	1.613038273	1.259980283	2.240586123	0.571368123	2.10118803	0.510596686	0.380805895	0.543592745	0.349300136
55732	ENSG00000000460	C1orf112	3.686361098	4.212077705	3.745680179	3.667203375	1.104705815	1.658427849	0.491136337	1.363517918	1.402465001	1.40115719	1.196300849	1.129882611
2268	ENSG00000000938	FGR	0.265371518	0.335104053	0.263579296	0.243455614	0.342682478	0.215044185	0	0	0	0	0	0
3075	ENSG00000000971	CFH	0.705566763	1.101583638	0.656210334	0.551335781	0.048824618	0	0.032046033	0.073716936	0.015276921	0	0	0
2519	ENSG00000001036	FUCA2	34.82773897	42.11898083	38.58757463	38.21646898	30.35436219	22.23619136	30.31939885	25.07117393	53.19889118	49.83076049	49.08142095	63.09253927
2729	ENSG00000001084	GCLC	3.76096164	4.567785172	5.988013442	5.974577818	7.002828393	9.128008433	5.097269254	9.01786423	3.693785815	3.865079514	2.804178224	3.433787893
4800	ENSG00000001167	NFYA	15.08044618	16.1361002	13.92108637	13.17905873	9.447585796	18.39275881	6.527925504	15.87631261	25.83578183	25.28109154	20.55345799	14.97163583
90529	ENSG00000001460	STPG1	1.001442215	1.453736353	0.88267368	1.056263324	2.159028498	1.65044414	2.073463252	1.970068554	1.428635839	1.552585899	1.780039029	1.4821299
57185	ENSG00000001461	NIPAL3	4.676641289	6.664300996	4.955167699	5.045272367	7.465118153	5.974900789	7.362712691	7.20245905	9.495104273	9.407280686	9.709212274	11.19055216
81887	ENSG00000001497	LAS1L	20.74160539	21.10847687	22.99529637	20.81368187	16.46948265	12.03311553	18.96749495	11.77056697	26.66472688	25.50211678	26.33982894	32.9789069
22875	ENSG00000001561	ENPP4	3.30477798	3.831644692	3.933453039	3.912586134	1.141066134	2.742041127	0.501610327	2.211552836	1.693411099	0.893993193	0.464997134	0.564391217
6405	ENSG00000001617	SEMA3F	3.969191434	4.791564215	3.299708436	6.089874075	1.104465502	0.630671494	0.946542637	0.950672652	34.41446203	42.18302247	38.86225603	27.83414613
1080	ENSG00000001626	CFTR	0	0	0	0	0	0	0	0.007215572	0.007469087	0	0	0
54467	ENSG00000001629	ANKIB1	9.599897846	12.54209195	9.273246321	9.92114324	0.820547491	5.646256929	0.541230024	4.570449569	6.627012807	7.519064155	4.190672273	1.467740021
1595	ENSG00000001630	CYP51A1	21.87294143	25.74900782	19.29142048	20.93900232	15.24870812	28.59242829	12.5585034	16.67508374	18.04020933	16.87886541	15.04890553	14.73047846
889	ENSG00000001631	KRIT1	2.998370597	2.91782501	2.902432166	2.656910305	0.261929872	1.03697544	0.173501833	0.905295614	0.771456349	0.581129069	0.33893153	0.171410706
5893	ENSG00000002016	RAD52	0.997687804	0.883707654	0.882943256	0.8689144	0.832344414	1.059447545	0.694539586	0.978163157	0.951406126	0.989207474	1.05116789	0.743006239
572	ENSG00000002330	BAD	8.413563146	7.977780528	5.149706643	7.309897171	19.15394818	11.11148693	20.90714912	12.1081112	14.98191166	17.55688839	16.20210487	19.61423838
51056	ENSG00000002549	LAP3	8.351232706	13.18121676	8.721464555	9.451544812	13.44972703	13.28550829	11.77771619	10.963028	9.279426721	8.365475595	6.672659766	7.461627241
4267	ENSG00000002586	CD99	14.33869095	21.89004684	23.43167208	24.33623532	66.44573656	46.0728684	82.08408898	30.08135855	16.45178985	28.56128773	34.68111234	34.82986138
9957	ENSG00000002587	HS3ST1	2.373455299	3.070939737	2.788787307	2.204397037	0.03562377	0.035389384	0.074813541	0.008609205	0.730976821	1.667433682	2.388539713	1.096309088
26	ENSG00000002726	AOC1	0	0.069065743	0.029107114	0.183349737	0	0	0	0	0	0	0.021715321	0
51384	ENSG00000002745	WNT16	0	0.068258809	0.050344161	0.066769366	0	0	0	0	0	0	0	0
23072	ENSG00000002746	HECW1	0.040697472	0.048591799	0.062472237	0.054829977	1.475079614	1.605511919	1.47140743	1.700860259	0.101317346	0.099873449	0.160388342	0.114515148
8379	ENSG00000002822	MAD1L1	5.73216273	4.964524993	6.722137046	6.132533232	5.44171841	4.122087558	6.439614452	3.699506919	5.395388881	5.423479349	5.513731708	6.64314821
3927	ENSG00000002834	LASP1	13.21344437	11.61493436	12.82009386	22.61050153	53.36185334	22.30636128	29.99151351	18.65810344	15.75196791	19.46363544	13.23218947	17.26323025
29916	ENSG00000002919	SNX11	1.172819557	1.361293348	1.313623301	1.195711819	2.17850898	1.899098132	2.624359861	1.663362442	1.960853454	1.761205523	1.532483911	2.36902745
55365	ENSG00000002933	TMEM176A	0	0	0	0.007701123	0	0	0	0	0	0	0	0
4074	ENSG00000003056	M6PR	7.531416851	8.349596886	9.800111102	11.17954317	5.293291046	5.912335562	5.228856544	4.299744703	5.96825452	6.75211062	6.265069965	7.946827397
90293	ENSG00000003096	KLHL13	2.685832646	4.134282869	2.212562302	3.427004064	0.181679144	0.445261233	0.101752289	0.555912681	1.295775405	1.410247448	1.372448439	0.825841778
