geneid	LNCaP_1	LNCaP_2	LNCaP_3
	16169	15472	17382
1	106	86	90
10	15	16	23
100	489	488	543
1000	0	0	0
10000	0	2	1
100008587	0	0	0
100008588	0	0	0
100008589	0	0	0
100009613	0	0	0
100009676	215	232	265
10001	486	411	528
10002	4	3	2
10003	92	112	118
100033819	0	0	0
100037417	21	19	11
100038246	0	0	0
10004	0	0	0
100048912	6	15	14
100049076	1	0	2
100049587	0	0	0
10005	992	939	1019
10006	1278	1155	1401
10007	2044	1953	2170
100073347	11	12	31
10008	1	0	2
10009	1627	1591	1894
100093630	2393	2286	2482
100093631	237	252	266
100093698	0	0	0
1001	12	20	23
10010	420	445	494
100101115	0	0	0
100101116	0	0	0
100101117	0	0	0
100101118	0	0	0
100101120	0	0	0
100101121	0	0	0
100101148	0	0	0
100101266	0	0	0
100101267	1555	1467	1705
100101467	758	653	701
100101490	234	253	228
100101938	2	1	0
10011	1295	1224	1413
100113378	1	4	0
100113379	0	0	0
100113380	0	0	0
100113381	20	37	38
100113382	0	0	0
100113384	0	0	0
100113386	6	8	10
100113389	0	0	1
100113391	0	0	0
100113392	0	0	0
100113393	19	13	21
100113402	0	0	0
100113403	0	0	0
100113404	0	0	0
100113407	209	223	293
100124412	10	0	8
100124516	22	13	17
100124533	3	2	3
100124534	0	0	0
100124535	0	0	0
100124536	1	0	1
100124537	0	0	0
100124538	0	0	0
100124539	0	0	0
100124540	0	0	0
100124541	0	0	0
100124700	0	1	1
100125288	82	76	69
100125556	269	214	286
100125918	4	1	4
100126270	5	10	2
100126296	0	0	0
100126297	0	0	0
100126299	0	0	0
100126301	0	0	0
100126302	0	0	0
100126303	0	0	0
100126304	0	0	0
100126306	0	0	0
100126307	0	0	0
100126308	0	0	0
100126309	0	0	0
100126310	0	0	0
100126311	0	0	0
100126313	1	0	0
100126314	0	0	0
100126315	0	0	0
100126316	0	0	0
100126317	6	1	1
100126318	0	0	0
100126319	0	0	0
100126320	0	0	0
100126321	0	0	0
100126323	0	0	0
100126324	0	0	0
100126325	0	0	0
100126326	0	0	0
100126327	0	0	0
100126328	0	5	6
100126331	0	0	1
100126332	0	0	0
100126333	0	0	0
100126334	0	0	0
100126335	0	0	0
100126336	0	0	0
100126337	0	0	0
100126338	0	0	0
100126340	0	0	0
100126341	0	0	0
100126342	0	0	0
100126343	0	0	0
100126345	0	0	0
100126346	0	0	0
100126347	0	0	0
100126348	5	3	4
100126349	0	0	0
100126350	0	0	0
100126351	0	0	0
100126354	0	0	0
100126355	0	0	0
100126356	0	0	0
100126447	0	0	0
100126582	5	2	1
100126584	0	2	0
100126693	1	0	1
100126780	1	1	0
100126781	0	0	0
100126784	0	0	3
100126791	0	0	0
100126793	80	55	74
100126798	0	0	0
100126799	0	0	0
100126800	0	0	0
100127206	0	0	0
100127888	0	1	1
100127889	5	2	4
