ENTREZ_GENE_ID,condition_1,condition_2,condition_3,condition_4
BPH1_1,Normal,No_meta,dep_andro,BPH1
BPH1_2,Normal,No_meta,dep_andro,BPH1
c22Rv1_1,Cancer,No_meta,dep_andro,c22Rv1
c22Rv1_2,Cancer,No_meta,dep_andro,c22Rv1
c22Rv1_3,Cancer,No_meta,dep_andro,c22Rv1
c22Rv1_4,Cancer,No_meta,dep_andro,c22Rv1
c22Rv1_5,Cancer,No_meta,dep_andro,c22Rv1
LNCaP_1,Cancer,meta,dep_andro,LNCaP
LNCaP_2,Cancer,meta,dep_andro,LNCaP
LNCaP_3,Cancer,meta,dep_andro,LNCaP
LNCap_4,Cancer,meta,dep_andro,LNCaP
LNCap_5,Cancer,meta,dep_andro,LNCaP
LNCap_6,Cancer,meta,dep_andro,LNCaP
PC3_1,Cancer,meta,indep_andro,PC3
PC3_2,Cancer,meta,indep_andro,PC3
PC3_3,Cancer,meta,indep_andro,PC3
PC3_4,Cancer,meta,indep_andro,PC3
